               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.027095,            0.026034,           0.0025838,             0.94698,             0.91135,              0.9565,             0.66166,            0.026901,            0.022019,           0.0024305,           0.0038125,           0.0038125,           0.0038125
                  52,            0.027096,            0.025725,           0.0026049,              0.9448,             0.91855,              0.9588,             0.67086,            0.026394,            0.021623,           0.0023851,           0.0036888,           0.0036888,           0.0036888
                  53,            0.026864,            0.025371,           0.0025613,             0.94665,              0.9168,             0.95852,             0.66962,            0.026514,            0.021597,           0.0023886,            0.003565,            0.003565,            0.003565
                  54,             0.02671,            0.025298,           0.0024951,              0.9436,             0.92152,             0.95851,             0.67307,            0.026337,            0.021514,           0.0023135,           0.0034413,           0.0034413,           0.0034413
                  55,            0.026665,            0.025371,           0.0025126,             0.93704,             0.92528,             0.95857,             0.66645,            0.026621,            0.021731,           0.0024172,           0.0033175,           0.0033175,           0.0033175
                  56,            0.026489,            0.025175,           0.0025213,             0.94137,             0.92692,               0.961,             0.67208,            0.026318,            0.021508,           0.0024005,           0.0031938,           0.0031938,           0.0031938
                  57,            0.026283,            0.025216,           0.0025443,             0.94448,             0.92415,             0.95863,             0.67525,            0.026125,            0.021409,           0.0022875,             0.00307,             0.00307,             0.00307
                  58,            0.026158,            0.025084,           0.0023796,             0.94401,             0.92233,             0.95858,             0.67075,             0.02658,            0.021522,           0.0023335,           0.0029462,           0.0029462,           0.0029462
                  59,            0.026033,            0.024971,           0.0024271,             0.94584,             0.91957,             0.95911,             0.67711,            0.026027,            0.021437,           0.0022805,           0.0028225,           0.0028225,           0.0028225
                  60,            0.026067,            0.024946,           0.0023583,             0.94111,              0.9279,             0.95942,             0.67375,            0.026271,            0.021512,           0.0023365,           0.0026987,           0.0026987,           0.0026987
                  61,            0.025802,            0.024587,           0.0023914,             0.94905,             0.92144,             0.95983,             0.67842,            0.026043,            0.021327,           0.0023094,            0.002575,            0.002575,            0.002575
                  62,            0.025755,            0.024724,           0.0023947,             0.94345,             0.92598,             0.96005,             0.67609,            0.026259,            0.021517,            0.002369,           0.0024513,           0.0024513,           0.0024513
                  63,            0.025519,            0.024649,           0.0023049,             0.94236,             0.92583,             0.95969,             0.68208,             0.02587,            0.021264,           0.0022858,           0.0023275,           0.0023275,           0.0023275
                  64,            0.025688,            0.024479,           0.0023559,             0.94905,             0.92122,             0.95909,             0.67795,            0.026097,            0.021504,           0.0023085,           0.0022038,           0.0022038,           0.0022038
                  65,            0.025532,            0.024572,           0.0023601,             0.94806,             0.92532,             0.95935,             0.67705,            0.026181,            0.021436,           0.0022874,             0.00208,             0.00208,             0.00208
                  66,            0.025461,            0.024316,           0.0023667,             0.94626,             0.92782,             0.96048,             0.68167,            0.025956,            0.021314,           0.0023047,           0.0019563,           0.0019563,           0.0019563
                  67,            0.025173,            0.024361,           0.0023129,             0.94574,             0.92975,             0.96054,             0.67953,            0.026043,            0.021408,           0.0022952,           0.0018325,           0.0018325,           0.0018325
                  68,            0.025297,            0.024631,           0.0023021,             0.94868,             0.92228,             0.95971,             0.68108,            0.025944,            0.021346,           0.0023135,           0.0017087,           0.0017087,           0.0017087
                  69,             0.02502,            0.023995,           0.0022449,             0.94472,             0.92594,             0.95865,             0.67852,            0.026012,            0.021474,             0.00232,            0.001585,            0.001585,            0.001585
                  70,            0.025031,            0.024068,           0.0022504,             0.93996,             0.93028,             0.95938,             0.67683,             0.02625,            0.021571,           0.0023119,           0.0014612,           0.0014612,           0.0014612
                  71,            0.024818,            0.023939,           0.0022084,             0.94523,             0.92807,             0.95997,             0.67981,            0.025982,            0.021424,           0.0022719,           0.0013375,           0.0013375,           0.0013375
                  72,            0.024687,            0.024183,           0.0022214,             0.94749,             0.92072,             0.95986,             0.68139,            0.025917,            0.021434,           0.0022753,           0.0012138,           0.0012138,           0.0012138
                  73,            0.024517,            0.023552,           0.0021858,             0.94409,             0.92666,              0.9604,              0.6853,            0.025754,            0.021371,           0.0022901,             0.00109,             0.00109,             0.00109
                  74,            0.024348,            0.023692,           0.0021548,              0.9456,             0.92611,             0.96048,             0.68414,            0.025885,             0.02141,           0.0023216,          0.00096625,          0.00096625,          0.00096625
                  75,            0.024368,            0.023369,           0.0021403,              0.9443,             0.92435,             0.96077,             0.68528,            0.025816,             0.02137,            0.002297,           0.0008425,           0.0008425,           0.0008425
                  76,            0.024213,            0.023641,           0.0021705,             0.94767,             0.92215,             0.96045,             0.68489,            0.025868,            0.021345,           0.0022885,          0.00071875,          0.00071875,          0.00071875
                  77,            0.024209,            0.023415,           0.0021013,             0.94824,              0.9216,             0.96036,             0.68719,            0.025752,            0.021325,           0.0022991,            0.000595,            0.000595,            0.000595
                  78,            0.024121,            0.023472,           0.0021557,             0.94889,             0.92015,             0.96035,             0.68649,            0.025797,            0.021407,           0.0022938,          0.00047125,          0.00047125,          0.00047125
                  79,            0.023938,            0.023311,           0.0021094,             0.94394,              0.9251,             0.95945,             0.68729,            0.025744,            0.021385,           0.0022991,           0.0003475,           0.0003475,           0.0003475
